race,num,Miyagawa,Ichinose,diff_ab,D,t_bar,D_p_t_bar,Final_rank,NFinal_rank,Goal_rank,NGoal_rank,Point,Skater ID
10,4,65.104,65.1,0.004,0.002,65.102,3.0721E-05,9,0.5625,15,0.9375,0,34
10,5,0.48,0.5,0.02,0.01,0.49,0.020408163,7,0.4375,12,0.75,0,30
10,6,65.104,65.1,0.004,0.002,65.102,3.0721E-05,,0,,0,0,28
10,7,45.925,46.816,0.891,0.4455,46.3705,0.009607401,6,0.375,11,0.6875,0,49
10,8,5.501,4.8,0.701,0.3505,5.1505,0.068051645,1,0.0625,1,0.0625,60,27
10,9,9.1,10.344,1.244,0.622,9.722,0.063978605,10,0.625,4,0.25,0,35
10,10,9.5,8.3,1.2,0.6,8.9,0.06741573,11,0.6875,6,0.375,0,50
10,11,11.58,11.7,0.12,0.06,11.64,0.005154639,5,0.3125,10,0.625,0,32
10,12,5,4.7,0.3,0.15,4.85,0.030927835,12,0.75,7,0.4375,0,51
10,13,2.6,2.6,0,0,2.6,0,14,0.875,9,0.5625,0,53
10,14,38.219,34.204,4.015,2.0075,36.2115,0.05543819,4,0.25,13,0.8125,0,48
10,15,6.3,6.2,0.1,0.05,6.25,0.008,13,0.8125,8,0.5,0,52
10,16,65.104,65.1,0.004,0.002,65.102,3.0721E-05,15,0.9375,14,0.875,0,54
11,1,7.8,6.5,1.3,0.65,7.15,0.090909091,2,0.125,2,0.125,40,1
11,2,1.7,1.4,0.3,0.15,1.55,0.096774194,14,0.875,8,0.5,0,56
11,3,0,0,0,0,0,0,5,0.3125,15,0.9375,0,15
11,4,35.904,36.956,1.052,0.526,36.43,0.014438649,9,0.5625,11,0.6875,0,18
11,5,49.471,47.54,1.931,0.9655,48.5055,0.019904959,13,0.8125,7,0.4375,0,2
11,6,27.513,26.058,1.455,0.7275,26.7855,0.027160217,7,0.4375,10,0.625,0,13
11,7,11.5,10.2,1.3,0.65,10.85,0.059907834,11,0.6875,5,0.3125,0,40
11,8,30.889,35.151,4.262,2.131,33.02,0.064536644,6,0.375,4,0.25,0,3
11,9,36.194,39.951,3.757,1.8785,38.0725,0.049340075,4,0.25,13,0.8125,0,11
11,10,31.802,32.627,0.825,0.4125,32.2145,0.012804793,3,0.1875,3,0.1875,20,41
11,11,34.222,37.101,2.879,1.4395,35.6615,0.04036566,1,0.0625,1,0.0625,60,17
11,12,54.401,54.999,0.598,0.299,54.7,0.005466179,10,0.625,14,0.875,0,42
11,13,24.936,25.466,0.53,0.265,25.201,0.010515456,8,0.5,12,0.75,0,46
11,14,44.635,44.915,0.28,0.14,44.775,0.003126745,12,0.75,6,0.375,0,55
11,15,36.765,41.958,5.193,2.5965,39.3615,0.065965474,15,0.9375,9,0.5625,0,43
11,16,54.401,54.999,0.598,0.299,54.7,0.005466179,16,1,16,1,0,57
12,1,55.137,56.86,1.723,0.8615,55.9985,0.015384341,10,0.454545455,6,0.272727273,0,25
12,2,30.334,29.243,1.091,0.5455,29.7885,0.018312436,1,0.045454545,1,0.045454545,60,47
12,3,3.9,3.8,0.1,0.05,3.85,0.012987013,3,0.136363636,3,0.136363636,20,26
12,4,67.045,66.996,0.049,0.0245,67.0205,0.00036556,5,0.227272727,17,0.772727273,0,28
12,5,67.045,66.996,0.049,0.0245,67.0205,0.00036556,22,1,22,1,0,34
12,6,6.7,6.5,0.2,0.1,6.6,0.015151515,8,0.363636364,4,0.181818182,0,30
12,7,3.8,4.5,0.7,0.35,4.15,0.084337349,11,0.5,7,0.318181818,0,35
12,8,67.045,66.996,0.049,0.0245,67.0205,0.00036556,4,0.181818182,14,0.636363636,0,58
12,9,36.292,38.053,1.761,0.8805,37.1725,0.023686865,6,0.272727273,10,0.454545455,0,49
12,10,6.1,5.8,0.3,0.15,5.95,0.025210084,9,0.409090909,5,0.227272727,0,50
